category,condition,page_url,image_url,index,status
Soft Tissue/Joints,ACL tear,https://radiopaedia.org/articles/acl-tear,https://prod-images-static.radiopaedia.org/images/2880696/fe8e9a9dd90d993e704da196b43d84_big_gallery.jpg,2,ok
Soft Tissue/Joints,ACL tear,https://radiopaedia.org/articles/acl-tear,https://prod-images-static.radiopaedia.org/images/590017/994f72bdb3c7c58a22fe52b41b8b5acfeac621ca2572799b785e91bcb688525e_big_gallery.jpeg,3,ok
Soft Tissue/Joints,Achilles tendon rupture,,,,not_found
Endocrine,Thyroid nodule,https://radiopaedia.org/articles/thyroid-nodule,https://prod-images-static.radiopaedia.org/images/32567801/0f673c587c0dae578bb7a247bb3606_gallery.jpeg,1,ok
Endocrine,Thyroid nodule,https://radiopaedia.org/articles/thyroid-nodule,https://prod-images-static.radiopaedia.org/images/32567801/0f673c587c0dae578bb7a247bb3606_big_gallery.jpeg,2,ok
Endocrine,Thyroid nodule,https://radiopaedia.org/articles/thyroid-nodule,https://prod-images-static.radiopaedia.org/images/32476945/bdbdd89b0b0e501d7c17e8d9f1a3f5_big_gallery.jpeg,3,ok
Endocrine,Thyroid goiter,,,,not_found
Endocrine,Parathyroid adenoma,https://radiopaedia.org/articles/parathyroid-adenoma,https://prod-images-static.radiopaedia.org/images/25104956/1ff33d84b761a88bcbcafe94f7c981_gallery.jpeg,1,ok
Endocrine,Parathyroid adenoma,https://radiopaedia.org/articles/parathyroid-adenoma,https://prod-images-static.radiopaedia.org/images/25104956/1ff33d84b761a88bcbcafe94f7c981_big_gallery.jpeg,2,ok
Endocrine,Parathyroid adenoma,https://radiopaedia.org/articles/parathyroid-adenoma,https://prod-images-static.radiopaedia.org/images/1706437/b8ebcac7467e63627fe50c1aca4590_big_gallery.jpg,3,ok
Endocrine,Adrenal adenoma,https://radiopaedia.org/articles/adrenal-adenoma,https://prod-images-static.radiopaedia.org/images/545672/bad82de351238a4cf68b8f5d16d5b0_gallery.jpeg,1,ok
Endocrine,Adrenal adenoma,https://radiopaedia.org/articles/adrenal-adenoma,https://prod-images-static.radiopaedia.org/images/545672/bad82de351238a4cf68b8f5d16d5b0_big_gallery.jpeg,2,ok
Endocrine,Adrenal adenoma,https://radiopaedia.org/articles/adrenal-adenoma,https://prod-images-static.radiopaedia.org/images/53636477/s10_big_gallery.jpeg,3,ok
Endocrine,Pheochromocytoma,,,,not_found
Endocrine,Cushing syndrome (pituitary adenoma),https://radiopaedia.org/articles/cushing-disease,https://prod-images-static.radiopaedia.org/images/18903/af89430a21004cf157275ccf332a75_gallery.jpeg,1,ok
